MCS,class,num,smarts
C(C)CCC,57,230,[#6](-[#6])-[#6]-[#6]-[#6]
CCC(C1CCCCC1)CC,207,82,[#6]-[#6]-[#6](-[#6]-1-[#6]-[#6]-[#6]-[#6]-[#6]-1)-[#6]-[#6]
C(C1CCCCC1)C(CC)CC,181,76,[#6](-[#6]-1-[#6]-[#6]-[#6]-[#6]-[#6]-1)-[#6](-[#6]-[#6])-[#6]-[#6]
C1CC2CCC3C(CCC4CCCCC34)C2C1,154,58,[#6]-1-[#6]-[#6]-2-[#6]-[#6]-[#6]-3-[#6](-[#6]-2-[#6]-1)-[#6]-[#6]-[#6]-1-[#6]-[#6]-[#6]-[#6]-[#6]-3-1
C1CC2CCCCC2C1,210,44,[#6]-1-[#6]-[#6]-2-[#6]-[#6]-[#6]-[#6]-[#6]-2-[#6]-1
C(CC1CCCCC1)C(CC)CC,397,44,[#6](-[#6](-[#6]-[#6])-[#6]-[#6])-[#6]-[#6]-1-[#6]-[#6]-[#6]-[#6]-[#6]-1
C1CCC2CCCCC2C1,211,30,[#6](-[#6]-[#6]-[#6]-[#6])-[#6]-[#6]-[#6]-[#6]-[#6]
C1CCC(C2CCCCC3CCCCC23)CC1,226,29,[#6]-1-[#6]-[#6]-[#6](-[#6]-[#6]-1)-[#6](-[#6](-[#6](-[#6]-[#6])-[#6]-[#6])-[#6]-[#6])-[#6]-[#6]
C1CCC2CC3CCCCC3CCC2C1,262,24,[#6]-1-[#6]-[#6]-[#6]-2-[#6]-[#6]-3-[#6]-[#6]-[#6]-[#6]-[#6]-3-[#6]-[#6]-[#6]-2-[#6]-1
C1CCC2CC3CCCCC3CC2C1,249,21,[#6]-1-[#6]-[#6]-[#6]-2-[#6]-[#6]-3-[#6]-[#6]-[#6]-[#6]-[#6]-3-[#6]-[#6]-2-[#6]-1
C(CC1CC2CCCCC12)CC1CCCC1,407,16,[#6](-[#6]-[#6](-[#6]-[#6])-[#6]-[#6])-[#6]-[#6]-1-[#6]-[#6]-2-[#6]-[#6]-[#6]-[#6]-[#6]-1-2
CCC(C1CCC2CCCCC2C1)CC,264,16,[#6]-[#6]-[#6](-[#6]-1-[#6]-[#6]-[#6]-2-[#6]-[#6]-[#6]-[#6]-[#6]-2-[#6]-1)-[#6]-[#6]
C(CC1CCCCC1)CC(CC)CC,399,15,[#6](-[#6]-[#6]-1-[#6]-[#6]-[#6]-[#6]-[#6]-1)-[#6]-[#6](-[#6]-[#6])-[#6]-[#6]
C1CC(C(CC)CC)C2CCCCC12,230,15,[#6]-[#6]-[#6](-[#6]-1-[#6]-[#6]-[#6](-[#6]-1-[#6]-[#6])-[#6]-[#6])-[#6]-[#6]
C(CC1CCC2CCCCC2C1)C(CC)CC,393,14,[#6](-[#6](-[#6]-[#6])-[#6]-[#6])-[#6]-[#6]-1-[#6]-[#6]-[#6]-2-[#6]-[#6]-[#6]-[#6]-[#6]-2-[#6]-1
C(CCC1CCCCC1)CCC(CC)CC,401,12,[#6](-[#6]-[#6]-[#6]-1-[#6]-[#6]-[#6]-[#6]-[#6]-1)-[#6]-[#6]-[#6](-[#6]-[#6])-[#6]-[#6]
C(C1CCCCC1)C1CCCC(CC2CCCCC2)C1,499,12,[#6](-[#6]-1-[#6]-[#6]-[#6]-[#6](-[#6]-1)-[#6]-[#6]-1-[#6]-[#6]-[#6]-[#6]-[#6]-1)-[#6]-1-[#6]-[#6]-[#6]-[#6]-[#6]-1
C(CC1CC2CC(CCC3CCCC3)CCC12)CC(CC)CC,390,12,[#6](-[#6]-[#6](-[#6]-[#6])-[#6]-[#6])-[#6]-[#6]-1-[#6]-[#6]-2-[#6]-[#6](-[#6]-[#6]-[#6]-1-2)-[#6]-[#6]-[#6](-[#6]-[#6])-[#6]-[#6]
C(CC(CC)CC)C(C1CCCCC1)C(CC)CC,492,11,[#6](-[#6](-[#6]-1-[#6]-[#6]-[#6]-[#6]-[#6]-1)-[#6](-[#6]-[#6])-[#6]-[#6])-[#6]-[#6](-[#6]-[#6])-[#6]-[#6]
C1CCC2CC3CC4CCCCC4CC3CC2C1,248,11,[#6]-1-[#6]-[#6]-[#6]-2-[#6]-[#6]-3-[#6]-[#6]-4-[#6]-[#6]-[#6]-[#6]-[#6]-4-[#6]-[#6]-3-[#6]-[#6]-2-[#6]-1
C(C(C1CCCCC1)C1CCCCC1)C(CC)CC,473,11,[#6](-[#6](-[#6]-[#6])-[#6]-[#6])-[#6](-[#6]-1-[#6]-[#6]-[#6]-[#6]-[#6]-1)-[#6]-1-[#6]-[#6]-[#6]-[#6]-[#6]-1
C(CCC(CC)CC)CC1CCCCC1,402,10,[#6](-[#6]-[#6](-[#6]-[#6])-[#6]-[#6])-[#6]-[#6]-[#6]-1-[#6]-[#6]-[#6]-[#6]-[#6]-1
C1C2CCCC3CC4CCCC5(C1CCCC45)C23,270,10,[#6]-1-[#6]-2-[#6]-[#6]-[#6]-[#6]-3-[#6]-[#6]-4-[#6]-[#6]-[#6]-[#6]-5(-[#6]-2-3)-[#6]-1-[#6]-[#6]-[#6]-[#6]-4-5
C(CC1CCCC2CCCC12)C(CC)CC,161,10,[#6](-[#6](-[#6]-[#6])-[#6]-[#6])-[#6]-[#6]-1-[#6]-[#6]-[#6]-[#6]-2-[#6]-[#6]-[#6]-[#6]-1-2
C1C(C(CC)CC)CC2CCCCC12,251,10,[#6]-[#6]-[#6](-[#6]-1-[#6]-[#6]-2-[#6]-[#6]-[#6]-[#6]-[#6]-2-[#6]-1)-[#6]-[#6]
C(C1CCC2CCCCC12)C(CC)CC,185,10,[#6](-[#6]-1-[#6]-[#6]-[#6]-2-[#6]-[#6]-[#6]-[#6]-[#6]-1-2)-[#6](-[#6]-[#6])-[#6]-[#6]
C(CCCC1CCCCC1)CCC(CC)CC,400,9,[#6](-[#6]-[#6]-[#6](-[#6]-[#6])-[#6]-[#6])-[#6]-[#6]-[#6]-[#6]-1-[#6]-[#6]-[#6]-[#6]-[#6]-1
C(CC1CCCCC1)CC1C2CCCCC2CC2CCCCC12,444,9,[#6](-[#6]-[#6]-1-[#6]-2-[#6]-[#6]-[#6]-[#6]-[#6]-2-[#6]-[#6]-2-[#6]-[#6]-[#6]-[#6]-[#6]-1-2)-[#6]-[#6]-1-[#6]-[#6]-[#6]-[#6]-[#6]-1
C(C(CC)CC)C1CCC2CCCC2C1,200,9,[#6](-[#6]-1-[#6]-[#6]-[#6]-2-[#6]-[#6]-[#6]-[#6]-2-[#6]-1)-[#6](-[#6]-[#6])-[#6]-[#6]
C(CCCCC1CCCCC1)CCCCCCCC,373,9,[#6](-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6])-[#6]-[#6]-[#6]-[#6]-1-[#6]-[#6]-[#6]-[#6]-[#6]-1
C1CC2CCC(C3CCCCC3)C3CCCC3C2C1,115,8,[#6]-1-[#6]-[#6]-2-[#6]-[#6]-[#6](-[#6](-[#6](-[#6]-2-[#6]-1)-[#6])-[#6]-[#6])-[#6]-1-[#6]-[#6]-[#6]-[#6]-[#6]-1
C(CC1CC2CCCC12)CC(CC)CC,408,8,[#6](-[#6]-[#6](-[#6]-[#6])-[#6]-[#6])-[#6]-[#6]-1-[#6]-[#6]-2-[#6]-[#6]-[#6]-[#6]-1-2
C(C(CC)CC)C1CCC2CCCCC2C1,199,8,[#6](-[#6]-1-[#6]-[#6]-[#6]-2-[#6]-[#6]-[#6]-[#6]-[#6]-2-[#6]-1)-[#6](-[#6]-[#6])-[#6]-[#6]
C1CC(C2CCCCC2)C(C2CCCCC2)C1,227,7,[#6]-1-[#6]-[#6](-[#6](-[#6]-1)-[#6]-1-[#6]-[#6]-[#6]-[#6]-[#6]-1)-[#6]-1-[#6]-[#6]-[#6]-[#6]-[#6]-1
CCC(C(C1CCCCC1)C1CCCCC1)CC,484,7,[#6]-[#6]-[#6](-[#6](-[#6]-1-[#6]-[#6]-[#6]-[#6]-[#6]-1)-[#6]-1-[#6]-[#6]-[#6]-[#6]-[#6]-1)-[#6]-[#6]
C1CC1C1CCCC2CCC(C(CC)CC)CC12,237,7,[#6]-1-[#6]-[#6]-1-[#6]-1-[#6]-[#6]-[#6]-[#6]-2-[#6]-[#6]-[#6](-[#6]-[#6]-1-2)-[#6](-[#6]-[#6])-[#6]-[#6]
C(C1CCCCC1)C1CCCC2CC3CC4CCCCC4CC3CC12,513,7,[#6](-[#6]-1-[#6]-[#6]-[#6]-[#6]-2-[#6]-[#6]-3-[#6]-[#6]-4-[#6]-[#6]-[#6]-[#6]-[#6]-4-[#6]-[#6]-3-[#6]-[#6]-1-2)-[#6]-1-[#6]-[#6]-[#6]-[#6]-[#6]-1
C(C1CCCCC1)C1CCCC2CCCCC12,189,6,[#6](-[#6]-1-[#6]-[#6]-[#6]-[#6]-2-[#6]-[#6]-[#6]-[#6]-[#6]-1-2)-[#6]-1-[#6]-[#6]-[#6]-[#6]-[#6]-1
C1CCC(C2CC3CCCCC3CC(C)C2CC)CC1,128,6,[#6]-[#6]-[#6]-1-[#6](-[#6]-2-[#6]-[#6]-[#6]-[#6]-[#6]-2)-[#6]-[#6]-2-[#6]-[#6]-[#6]-[#6]-[#6]-2-[#6]-[#6]-1-[#6]
C1CCC2C(C1)CCC1CCCCC21,231,6,[#6]-1-[#6]-[#6]-[#6]-2-[#6](-[#6]-[#6]-[#6]-3-[#6]-[#6]-[#6]-[#6]-[#6]-3-2)-[#6]-1
C(CCCCCCC1CCCCC1)CCC1CCCCC1,527,6,[#6](-[#6]-[#6]-[#6](-[#6])-[#6]-[#6]-[#6]-[#6])-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]
C1CC2CC3CCCCC3C3CCCC1C23,221,6,[#6]-1-[#6]-[#6]-2-[#6]-[#6]-3-[#6]-[#6]-[#6]-[#6]-[#6]-3-[#6]-3-[#6]-[#6]-[#6]-[#6]-1-[#6]-2-3
C(CC1CCCCC1)C1CC2CCCCC2C1,585,6,[#6](-[#6]-1-[#6]-[#6]-2-[#6]-[#6]-[#6]-[#6]-[#6]-2-[#6]-1)-[#6]-[#6]-1-[#6]-[#6]-[#6]-[#6]-[#6]-1
C(CC(CC)CC)CC1CCC(CC(CC)CC)CC1,574,5,[#6](-[#6]-[#6]-1-[#6]-[#6]-[#6](-[#6]-[#6]-1)-[#6]-[#6](-[#6]-[#6])-[#6]-[#6])-[#6]-[#6](-[#6]-[#6])-[#6]-[#6]
C(C1CCCCC1)C1CCC(CC2CCC(CC3CCC4C(CCC5C6CCC(C7CCCC7)C6CCC45)C3)CC2)CC1,326,5,[#6](-[#6]-1-[#6]-[#6]-[#6](-[#6]-[#6]-1)-[#6]-[#6]-1-[#6]-[#6]-[#6](-[#6]-[#6]-1)-[#6]-[#6]-1-[#6]-[#6]-[#6]-2-[#6](-[#6]-1)-[#6]-[#6]-[#6]-1-[#6]-3-[#6]-[#6]-[#6](-[#6]-3-[#6]-[#6]-[#6]-2-1)-[#6]-1-[#6]-[#6]-[#6]-[#6]-1)-[#6]-1-[#6]-[#6]-[#6]-[#6]-[#6]-1
C1CC1C1CCCCC1,209,5,[#6]-[#6](-[#6]-1-[#6]-[#6]-[#6]-[#6]-[#6]-1)-[#6]
C1CCC(C2CCCCC2)(C2CCCCC2)C1,79,5,[#6]-[#6]-[#6](-[#6]-1-[#6]-[#6]-[#6]-[#6]-[#6]-1)(-[#6]-1-[#6]-[#6]-[#6]-[#6]-[#6]-1)-[#6]-[#6]
C(CCCC1CCCCC1)CCC1CCC2CCCC12,383,5,[#6](-[#6]-[#6]-[#6]-1-[#6]-[#6]-[#6](-[#6]-1-[#6]-[#6])-[#6])-[#6]-[#6]-[#6]-[#6]-1-[#6]-[#6]-[#6]-[#6]-[#6]-1
C(CC1CCCC1C(CCC)C)C1CC2CCCC12,163,5,[#6](-[#6]-1-[#6]-[#6]-2-[#6]-[#6]-[#6]-[#6]-1-2)-[#6]-[#6](-[#6](-[#6](-[#6]-[#6]-[#6])-[#6])-[#6])-[#6]-[#6]
C1C(C(CC)CC)CC2C1CCC1C2CCC2CCC(C3CCCCC3)CC12,121,5,[#6]-[#6]-[#6](-[#6]-1-[#6]-[#6]-2-[#6]-[#6]-[#6]-3-[#6](-[#6]-2-[#6]-1)-[#6]-[#6]-[#6]-1-[#6]-[#6]-[#6](-[#6]-[#6]-3-1)-[#6]-1-[#6]-[#6]-[#6]-[#6]-[#6]-1)-[#6]-[#6]
C1CC2CC3C(CCC4C3CCC3CCCCC43)C2C1,153,5,[#6]-1-[#6]-[#6]-2-[#6]-[#6]-3-[#6](-[#6]-2-[#6]-1)-[#6]-[#6]-[#6]-1-[#6]-3-[#6]-[#6]-[#6]-2-[#6]-[#6]-[#6]-[#6]-[#6]-2-1
C(CC1CCCCCCCCCCCCCCCCCCCC2CCCC(C2)CCC2CCCCC2CC1)C1CCCCC1,296,5,[#6](-[#6]-1-[#6]-[#6]-[#6]-[#6]-[#6]-1)-[#6]-[#6]-1-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-2-[#6]-[#6]-[#6]-[#6](-[#6]-[#6]-[#6]-3-[#6]-[#6]-[#6]-[#6]-[#6]-3-[#6]-[#6]-1)-[#6]-2
C1CC23C(CC4CCC(C5CC6CCCC(C6)CCC6C7CCCCC7CC56)CC24)CCC2CCCC1C32,308,4,[#6]-1-[#6]-[#6]-2-3-[#6](-[#6]-[#6]-[#6]-4-[#6]-[#6]-[#6]-[#6]-1-[#6]-4-3)-[#6]-[#6]-1-[#6]-[#6]-[#6](-[#6]-[#6]-2-1)-[#6]-1-[#6]-[#6]-2-[#6]-[#6]-[#6]-[#6](-[#6]-[#6]-[#6]-3-[#6]-4-[#6]-[#6]-[#6]-[#6]-[#6]-4-[#6]-[#6]-1-3)-[#6]-2
C(CC1CCCC1)CC1CCC2CCCCC2C1,552,4,[#6](-[#6]-[#6]-1-[#6]-[#6]-[#6]-2-[#6]-[#6]-[#6]-[#6]-[#6]-2-[#6]-1)-[#6]-[#6](-[#6]-[#6])-[#6]-[#6]
C1CCC2C(C1)CC1CCCCC1C(CCC)C2,139,4,[#6](-[#6])-[#6]-[#6]-1-[#6]-[#6]-2-[#6]-[#6]-[#6]-[#6]-[#6]-2-[#6]-[#6]-2-[#6]-[#6]-[#6]-[#6]-[#6]-2-1
C1CC2CCCC2C1,60,4,[#6]-1-[#6]-[#6]-2-[#6]-[#6]-[#6]-[#6]-2-[#6]-1
C1CC2CCCC12,61,4,[#6]-1-[#6]-[#6]-2-[#6]-[#6]-[#6]-[#6]-1-2
C1CCC(C2C(CC)C(C)CCC3CCCCC23)CC1,106,4,[#6]-[#6]-[#6]-1-[#6](-[#6]-2-[#6]-[#6]-[#6]-[#6]-[#6]-2)-[#6]-2-[#6]-[#6]-[#6]-[#6]-[#6]-2-[#6]-[#6]-[#6]-1-[#6]
C(CC(CCC1CCCCC1)C1CCCCC1)CC1CC2CC(C1)C(CCC1CCCCC1)C1C3CCC3CCC1CC2,465,4,[#6](-[#6]-[#6]-1-[#6]-[#6]-2-[#6]-[#6](-[#6](-[#6]-3-[#6]-4-[#6]-[#6]-[#6]-4-[#6]-[#6]-[#6]-3-[#6]-[#6]-2)-[#6]-[#6]-[#6]-2-[#6]-[#6]-[#6]-[#6]-[#6]-2)-[#6]-1)-[#6]-[#6](-[#6]-1-[#6]-[#6]-[#6]-[#6]-[#6]-1)-[#6]-[#6]-[#6]-1-[#6]-[#6]-[#6]-[#6]-[#6]-1
C(CCC1CCC(CCCCC)CC1)CC(CC)CC,541,4,[#6](-[#6]-[#6](-[#6]-[#6])-[#6]-[#6])-[#6]-[#6]-[#6](-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6])-[#6]-[#6]
C(CC1CCC(C2CCCCC2)CC1)C(C1CCCCC1)C1CCCCC1,488,4,[#6](-[#6](-[#6]-1-[#6]-[#6]-[#6]-[#6]-[#6]-1)-[#6]-1-[#6]-[#6]-[#6]-[#6]-[#6]-1)-[#6]-[#6]-1-[#6]-[#6]-[#6](-[#6]-[#6]-1)-[#6]-1-[#6]-[#6]-[#6]-[#6]-[#6]-1
C(C1CCCC1)C1CCC(C2CCCCC2C2CCCC2)CC1,348,4,[#6](-[#6]-1-[#6]-[#6]-[#6](-[#6]-[#6]-1)-[#6]-1-[#6]-[#6]-[#6]-[#6]-[#6]-1-[#6]-1-[#6]-[#6]-[#6]-[#6]-1)-[#6](-[#6]-[#6])-[#6]-[#6]
C(C1CCCC1)C1CC2CCC2C1,178,4,[#6](-[#6]-1-[#6]-[#6]-2-[#6]-[#6]-[#6]-2-[#6]-1)-[#6]-1-[#6]-[#6]-[#6]-[#6]-1
C(CC1CC2CC(CC3CCCC3)CCC12)CC1CCCC1,535,4,[#6](-[#6]-[#6]-1-[#6]-[#6]-[#6]-[#6]-1)-[#6]-[#6]-1-[#6]-[#6]-2-[#6]-[#6](-[#6]-[#6]-[#6]-1-2)-[#6]-[#6](-[#6]-[#6])-[#6]-[#6]
C(C(CC(CC)CC)C1CCCCC1)C1CCCC1,478,4,[#6](-[#6]-1-[#6]-[#6]-[#6]-[#6]-1)-[#6](-[#6]-1-[#6]-[#6]-[#6]-[#6]-[#6]-1)-[#6]-[#6](-[#6]-[#6])-[#6]-[#6]
C(C1CCCCC1)C1CCCCCCCCCCCC(CC2CCCCC2)C1,498,4,[#6](-[#6](-[#6]-[#6](-[#6]-[#6]-1-[#6]-[#6]-[#6]-[#6]-[#6]-1)-[#6]-[#6]-[#6]-[#6])-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6])-[#6]-1-[#6]-[#6]-[#6]-[#6]-[#6]-1
C(CC(C1CCCC1)C1CCCC1)CC(CC)CC,491,4,[#6](-[#6]-[#6](-[#6]-[#6])-[#6]-[#6])-[#6]-[#6](-[#6](-[#6]-[#6])-[#6]-[#6])-[#6](-[#6]-[#6])-[#6]-[#6]
C(CCC1CCC(C(C2CCCCC2)C2CCCCC2)CC1)CCCCCC,482,4,[#6](-[#6]-[#6]-1-[#6]-[#6]-[#6](-[#6]-[#6]-1)-[#6](-[#6]-1-[#6]-[#6]-[#6]-[#6]-[#6]-1)-[#6]-1-[#6]-[#6]-[#6]-[#6]-[#6]-1)-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]
C1CCC(C2CCCC3CCCCC23)CC1,229,4,[#6]-1-[#6]-[#6]-[#6](-[#6]-[#6]-1)-[#6]-1-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-1
C(CCC1CCCCC1)CCC1CCCC(C)C1CC,381,4,[#6](-[#6]-[#6]-[#6]-1-[#6]-[#6]-[#6]-[#6](-[#6]-1-[#6]-[#6])-[#6])-[#6]-[#6]-[#6]-1-[#6]-[#6]-[#6]-[#6]-[#6]-1
C1CC2CC3CCCCC3CC2C1,250,4,[#6]-1-[#6]-[#6]-2-[#6]-[#6]-3-[#6]-[#6]-[#6]-[#6]-[#6]-3-[#6]-[#6]-2-[#6]-1
C(CC1CCC(CC2CCCCC2)CC1)C1CCCC1,573,4,[#6](-[#6](-[#6]-[#6])-[#6]-[#6])-[#6]-[#6]-1-[#6]-[#6]-[#6](-[#6]-[#6]-1)-[#6]-[#6]-1-[#6]-[#6]-[#6]-[#6]-[#6]-1
C(C1CC1)C1CCC23C4CC5CCCC(CC1C2CCC4)C35,271,4,[#6](-[#6]-1-[#6]-[#6]-[#6]-2-3-[#6]-4-[#6]-[#6]-5-[#6]-[#6]-[#6]-[#6](-[#6]-3-5)-[#6]-[#6]-1-[#6]-2-[#6]-[#6]-[#6]-4)-[#6](-[#6])-[#6]
C(CC1CCC2CCCC2C1)C1CCCC1,394,4,[#6](-[#6](-[#6]-[#6])-[#6]-[#6])-[#6]-[#6]-1-[#6]-[#6]-[#6]-2-[#6]-[#6]-[#6]-[#6]-2-[#6]-1
C(CC1CCCC2CCCCC12)C(CC)CC,160,4,[#6](-[#6](-[#6]-[#6])-[#6]-[#6])-[#6]-[#6]-1-[#6]-[#6]-[#6]-[#6]-2-[#6]-[#6]-[#6]-[#6]-[#6]-1-2
C(CC1CCCCC1)CC1CC2CCC(C2)C1,405,3,[#6](-[#6]-[#6]-1-[#6]-[#6]-2-[#6]-[#6]-[#6](-[#6]-1)-[#6]-2)-[#6]-[#6]-1-[#6]-[#6]-[#6]-[#6]-[#6]-1
C(CC1CCCCC1)CC1CCC(C2CCCCC2)CC1,576,3,[#6](-[#6]-[#6]-1-[#6]-[#6]-[#6](-[#6]-[#6]-1)-[#6]-1-[#6]-[#6]-[#6]-[#6]-[#6]-1)-[#6]-[#6]-1-[#6]-[#6]-[#6]-[#6]-[#6]-1
CCC(C)C,38,3,[#6]-[#6]-[#6](-[#6])-[#6]
C(CC1CCC(C2CCC(C3CCC(C4CCCC4)CC3)CC2)CC1)C1CCC(CC2CCCC2)(C2CCCCC2)C1,328,3,[#6](-[#6]-1-[#6]-[#6]-[#6](-[#6]-1)(-[#6]-1-[#6]-[#6]-[#6]-[#6]-[#6]-1)-[#6]-[#6]-1-[#6]-[#6]-[#6]-[#6]-1)-[#6]-[#6]-1-[#6]-[#6]-[#6](-[#6]-[#6]-1)-[#6]-1-[#6]-[#6]-[#6](-[#6]-[#6]-1)-[#6]-1-[#6]-[#6]-[#6](-[#6]-[#6]-1)-[#6]-1-[#6]-[#6]-[#6]-[#6]-1
C1CC1C1CCCC2CCCC12,233,3,[#6]-1-[#6]-[#6]-2-[#6]-[#6]-[#6]-[#6](-[#6]-2-[#6]-1)-[#6]-[#6]-[#6]
C(CC(CC)CCC)C1CC2CCCC12,406,3,[#6](-[#6]-1-[#6]-[#6]-2-[#6]-[#6]-[#6]-[#6]-1-2)-[#6]-[#6](-[#6]-[#6])-[#6]-[#6]-[#6]
C1CC2CC3CCC4C5CCCC5CCC4C3CC2C1,243,3,[#6]-1-[#6]-[#6]-2-[#6]-[#6]-3-[#6]-[#6]-[#6]-4-[#6]-5-[#6]-[#6]-[#6]-[#6]-5-[#6]-[#6]-[#6]-4-[#6]-3-[#6]-[#6]-2-[#6]-1
C(CC1CCCC(CC(CC)CCC2CCCCC2)C1)C1CCC(CC2CCCCC2)CC1,602,3,[#6](-[#6]-1-[#6]-[#6]-[#6](-[#6]-[#6]-1)-[#6]-[#6]-1-[#6]-[#6]-[#6]-[#6]-[#6]-1)-[#6]-[#6]-1-[#6]-[#6]-[#6]-[#6](-[#6]-1)-[#6]-[#6](-[#6]-[#6]-[#6]-1-[#6]-[#6]-[#6]-[#6]-[#6]-1)-[#6]-[#6]
C1CC2CCCC3CCC4CCC23C(C1)C4,78,3,[#6]-1-[#6]-[#6]-2-[#6]-[#6]-[#6]-[#6]-3-[#6]-[#6]-[#6]-4-[#6]-[#6]-[#6]-2-3-[#6](-[#6]-4)-[#6]-1
C(CCCCCCCC1CCCCC1)CCCCCCCCCC,372,3,[#6](-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-1-[#6]-[#6]-[#6]-[#6]-[#6]-1)-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]
C(CCC1CCC(CCCCC2CCCCC2)CC1)CC(CC)CC,605,3,[#6](-[#6]-[#6](-[#6]-[#6])-[#6]-[#6])-[#6]-[#6]-[#6]-1-[#6]-[#6]-[#6](-[#6]-[#6]-1)-[#6]-[#6]-[#6]-[#6]-[#6]-1-[#6]-[#6]-[#6]-[#6]-[#6]-1
C(CCC1CCCCC1C1CCCCC1)CC1CCCCC1,379,3,[#6](-[#6]-[#6]-1-[#6]-[#6]-[#6]-[#6]-[#6]-1)-[#6]-[#6]-[#6]-1-[#6]-[#6]-[#6]-[#6]-[#6]-1-[#6]-1-[#6]-[#6]-[#6]-[#6]-[#6]-1
C(CC1CCC2CC3CCC4CCCC(C34)C2C1)C1CC2C3CCCC3CC(CC3CCCCC3)C2C1,322,3,[#6](-[#6]-1-[#6]-[#6]-2-[#6]-3-[#6]-[#6]-[#6]-[#6]-3-[#6]-[#6](-[#6]-2-[#6]-1)-[#6]-[#6]-1-[#6]-[#6]-[#6]-[#6]-[#6]-1)-[#6]-[#6]-1-[#6]-[#6]-[#6]-2-[#6]-[#6]-3-[#6]-[#6]-[#6]-4-[#6]-[#6]-[#6]-[#6](-[#6]-2-[#6]-1)-[#6]-3-4
C(C(CC)CC)C1CCCC2CCCC12,187,3,[#6](-[#6]-1-[#6]-[#6]-[#6]-[#6]-2-[#6]-[#6]-[#6]-[#6]-1-2)-[#6](-[#6]-[#6])-[#6]-[#6]
C(C1CCCC2CCCCC12)C1CC2CCC1CC2,158,3,[#6](-[#6]-1-[#6]-[#6]-2-[#6]-[#6]-[#6]-1-[#6]-[#6]-2)-[#6]-1-[#6]-[#6]-[#6]-[#6]-2-[#6]-[#6]-[#6]-[#6]-[#6]-1-2
C1CCC2C(C1)CC1CCCC23CCCCC13,276,3,[#6]-1-[#6]-[#6]-[#6]-2-[#6](-[#6]-[#6]-3-[#6]-[#6]-[#6]-[#6]-2-2-[#6]-[#6]-[#6]-[#6]-[#6]-3-2)-[#6]-1
C(C1CCCCC1)C1CCCCC1C(CC)CC,188,3,[#6](-[#6]-1-[#6]-[#6]-[#6]-[#6]-[#6]-1-[#6](-[#6]-[#6])-[#6]-[#6])-[#6]-1-[#6]-[#6]-[#6]-[#6]-[#6]-1
